id_developer,developer
743,Gas Powered Games
744,"Bluehole, Inc."
745,艺龙游戏
746,Team17 Digital Ltd
747,"Blackfoot Studios, Microprose Software"
748,Failbetter Games
749,Sometimes You
750,Double Cross
751,Aether Studios
752,Lionhead Studios
753,Sam Barlow
754,Telltale
755,Infinite Fall
756,Digitalmindsoft
757,"Ubisoft Sofia, Ubisoft Kiev"
758,墨鱼玩游戏
759,Giant Army
760,Piboso
761,Noio
762,Inzoi Studio
763,Oskar Stålberg
764,"Monolith Productions, Inc., Timegate"
765,Rust Ltd.
766,Redcandlegames
767,Xlgames
768,"Gearbox Software, Blind Squirrel Games"
769,"Mojang Studios, ‪Double Eleven"
770,Madbyte Games
771,Glyph Worlds
772,"Fabio Ferrara, Giulia Airoldi"
773,"Kaiko, Big Huge Games, 38 Studios"
774,Thq Nordic Barcelona
775,Kchamp Games
776,Amanita Design
777,Dylan Fitterer
778,Ul Solutions
779,"Wss Playground, Xemono"
780,Reality Pump Studios
781,League Of Geeks
782,Aesir Interactive
783,Grease Monkey Games
784,Hl-Galgame
785,Fantablade Network
786,Xaviant
787,Desertkun
788,Slightly Mad Studios
789,"Grasshopper Manufacture Inc., Supertrick Games, Inc."
790,Bulkhead
791,Robot Gentleman
792,Lilmemes Production
793,Easy Game
794,Rogue Snail
795,"Vicarious Visions, Iron Galaxy Studios"
796,"Orange_Juice, Fruitbat Factory"
797,Radical Entertainment
798,Eleon Game Studios
799,Deadtoast Entertainment
800,"Virtual Heroes, Army Game Studio"
801,Nival
802,Zeboyd Digital Entertainment Llc
803,Blackbird Interactive
804,Detach Entertainment
805,Cyanide Studios
806,Tactical Adventures
807,Portable Moose
808,Toukana Interactive
809,Airship Syndicate
810,Poolians.Com
811,Laminar Research
812,Desconocido
813,"Redemption Road, Pixel Dash Studios"
814,Cellar Door Games
815,Glowstick Entertainment
816,Kixeye
817,Earthwork Games
818,Ska Studios
819,Flanne
820,"Volition, Reactor Zero, Thq Nordic"
821,Weirdbeard
822,Wiple Games
823,5Th Cell Media
824,King Art
825,Maxim Karpenko
826,Donkey Crew
827,Airtight Games
828,Denchisoft
829,"Crystal Dynamics, Eidos-Montréal, Nixxes"
830,Ubisoft Mainz
831,Madruga Works
832,"Monochrome, Inc"
833,Libretro
834,"Monolith Productions, Inc."
835,Blit Software
836,Foulball Hangover
837,Niceplay Games
838,Define Human Studios
839,"Traveller'S Tales, Feral Interactive (Mac)"
840,Toxic Dog
841,Ironhide Game Studio
842,U.Ground Game Studio
843,Easyanticheat Ltd
844,Hopfrog
845,Scavengers Studio
846,Stardock Entertainment
847,Dread Hunger Team
848,Akaba Studio
849,Funday Games
850,5 Lives Studios
851,Phobia Game Studio
852,Ebb Software
853,Rockfish Games
854,"Wangyuan Shengtang Entertainment Technology Co., 上海烛龙信息科技有限公司"
855,Infinity Plus 2
856,甘肃嘉元数字科技有限公司
857,Arkedo
858,Octoshark Studios
859,"Kabam Games, Inc."
860,Divine Games
861,Cursed Studios
862,Easy Day Studios Pty Ltd
863,Blue Byte
864,Big Blue Bubble
865,Ivy Sly
866,"Guerrilla, Nixxes Software"
867,James Bendon
868,"上海烛龙信息科技有限公司, Aurogon Shanghai"
869,Motive
870,养蛋人 Egg Hatcher
871,Visceral Games
872,Berzerk Studio
873,Turn 10
874,Two Star Games
875,Autoattack Games
876,Teeworlds Team
877,Ea Black Box
878,Zachtronics
879,Humble Hearts Llc
880,Small Impact Games
881,2D Boy
882,Asteroid Lab
883,Perfuse Entertainment
884,Exe Games Inc.
885,Future Cat Llc
